City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Hornepayne,CA,2021-04-25 00:04:59,49.2138,-84.7705,25.97,93,100,10.36
158,Palmer,US,2021-04-25 00:04:59,42.1584,-72.3287,62.6,29,40,9.22
159,Staraya Russa,RU,2021-04-25 00:04:59,57.9944,31.3608,31.03,95,78,8.32
160,Shitanjing,CN,2021-04-25 00:05:00,39.2342,106.3439,45.19,52,88,3.96
161,Nurobod,UZ,2021-04-25 00:05:00,40.9056,69.8023,53.6,50,0,6.91
162,Goderich,CA,2021-04-25 00:01:36,43.7501,-81.7165,57.2,41,100,9.22
163,Gat,IL,2021-04-25 00:04:08,31.61,34.7642,64.0,100,10,4.32
164,Srednekolymsk,RU,2021-04-25 00:05:01,67.45,153.6833,17.22,83,100,9.33
165,Devils Lake,US,2021-04-25 00:05:01,48.1128,-98.8651,45.0,23,20,8.05
166,Tumaco,CO,2021-04-25 00:05:01,1.7986,-78.8156,78.39,86,40,5.08
167,Mount Isa,AU,2021-04-25 00:01:00,-20.7333,139.5,77.0,47,6,17.27
168,Haines Junction,CA,2021-04-25 00:00:40,60.7522,-137.5108,55.4,19,23,5.75
169,Verkhnyaya Sinyachikha,RU,2021-04-25 00:05:03,57.976,61.6673,38.75,69,100,7.94
170,Leshukonskoye,RU,2021-04-25 00:05:03,64.8989,45.7622,40.86,79,18,4.97
171,Aksu,CN,2021-04-25 00:05:04,41.1231,80.2644,53.33,34,65,4.76
172,Hartselle,US,2021-04-25 00:05:04,34.4434,-86.9353,64.4,72,1,9.22
173,Chilca,PE,2021-04-25 00:05:05,-12.5211,-76.7372,70.0,88,75,12.66
174,Bartlesville,US,2021-04-25 00:01:31,36.7473,-95.9808,69.8,40,1,8.05
175,Price,US,2021-04-25 00:05:05,39.5994,-110.8107,64.4,20,1,5.75
176,Gambela,ET,2021-04-25 00:05:04,8.25,34.5833,75.87,71,82,2.86
177,Beringovskiy,RU,2021-04-25 00:05:06,63.05,179.3167,32.22,93,100,4.16
178,Cabo San Lucas,MX,2021-04-25 00:05:06,22.8909,-109.9124,80.6,27,1,9.22
179,Narsaq,GL,2021-04-25 00:00:42,60.9167,-46.05,53.6,32,90,29.93
